lsoa11name,WIMD ,Income ,Employment ,Health ,Education ,Access to Services ,Community Safety ,Physical Environment ,Housing 
Holyhead Town ,1,1,1,1,1,4,1,4,2
London Road ,1,1,1,2,2,3,1,5,3
Maeshyfryd ,1,1,1,1,1,3,2,5,3
Morawelon ,1,1,1,1,1,2,1,5,5
Porthyfelin 1 ,1,1,1,2,1,3,1,5,3
Tudur ,1,1,1,2,1,1,1,5,4
Amlwch Port ,2,2,2,2,2,3,2,5,3
Llannerch-y-medd ,2,3,3,3,3,1,5,4,1
Kingsland ,2,1,2,2,1,3,1,5,3
Rhosyr ,2,3,3,3,2,1,4,5,2
Amlwch Rural ,3,3,3,4,3,1,4,5,4
Llanbadrig ,3,2,3,4,3,4,4,5,3
Mechell ,3,3,3,4,4,1,5,5,1
Porthyfelin 2 ,3,2,2,3,2,4,3,5,5
Llanfaethlu ,3,3,4,3,3,1,4,5,1
Valley 1 ,3,2,3,3,2,4,3,2,5
Aberffraw & Rhosneigr 1 ,3,3,2,4,3,1,3,5,3
Bryngwran ,3,3,3,3,3,1,4,5,1
Llanfair-yn-Neubwll 1 ,3,3,4,2,3,1,4,5,3
Llanfair-yn-Neubwll 2 ,3,3,4,4,3,1,3,5,2
Llaneilian ,3,3,3,4,4,1,5,5,2
Moelfre ,3,3,3,4,3,1,5,5,3
Beaumaris ,3,3,4,4,1,4,3,4,3
Llangoed ,3,3,3,3,3,1,5,5,3
Pentraeth ,3,3,4,4,4,1,4,5,1
Bodffordd ,3,4,3,4,4,1,4,5,2
Bodorgan ,3,4,4,4,4,1,4,5,1
Llanidan ,3,3,4,3,3,1,4,5,1
Parc a'r Mynydd ,4,3,3,4,3,2,2,5,5
Trearddur 1 ,4,4,5,4,5,1,4,3,4
Trearddur 2 ,4,4,4,4,5,1,3,4,3
Aberffraw & Rhosneigr 2 ,4,3,4,4,5,2,5,5,1
Llanddyfnan ,4,5,4,5,5,1,5,5,2
Llanbedrgoch ,4,4,3,4,2,3,4,3,4
Cefni ,4,4,4,3,4,5,2,5,5
Cyngar ,4,3,3,3,4,4,2,5,5
Cadnant (Isle of Anglesey) ,4,4,4,5,5,5,1,5,1
Tysilio ,4,4,4,4,4,3,3,5,4
Llanfihangel Ysgeifiog ,4,4,4,4,4,2,3,4,3
Valley 2 ,5,5,4,4,5,3,5,4,5
Brynteg ,5,4,4,5,4,4,5,5,4
Cwm Cadnant ,5,5,5,5,5,2,5,5,5
Braint ,5,5,5,5,5,5,5,5,4
Gwyngyll ,5,4,4,3,5,5,5,4,5
Marchog 2 ,1,1,1,1,1,2,1,5,4
Marchog 1 ,1,1,2,1,1,1,2,5,3
Cadnant (Gwynedd) ,1,1,1,2,2,2,1,5,2
Peblig (Caernarfon) ,1,1,1,1,1,1,1,5,2
Hendre (Gwynedd) ,2,3,3,2,2,2,1,5,1
Deiniolen ,2,2,3,3,4,1,2,4,1
Seiont 2 ,2,2,2,3,2,2,1,5,2
Llanllyfni & Clynnog ,2,3,4,4,4,1,3,4,1
Talysarn ,2,2,3,3,3,1,3,4,1
Bowydd and Rhiw ,2,2,2,2,2,2,1,4,1
Diffwys and Maenofferen ,2,2,2,3,2,4,2,3,1
Llangelynin ,2,3,2,3,3,1,4,3,2
Tywyn 2 ,2,2,2,2,2,3,4,2,3
Deiniol ,3,4,5,3,3,1,1,4,1
Hirael & Garth 1 ,3,4,4,5,2,4,1,5,1
Hirael & Garth 2 ,3,3,4,3,3,3,2,1,1
Dewi ,3,3,3,3,4,3,2,4,2
Arllechwedd ,3,3,3,4,4,1,2,3,1
Gerlan ,3,3,3,3,4,2,4,5,1
Ogwen 1 ,3,2,3,3,3,2,2,4,3
Ogwen 2 ,3,2,2,3,4,4,2,4,2
Pentir 2 ,3,3,3,4,4,1,3,5,3
Llanwnda ,3,3,4,4,4,1,4,3,2
Waunfawr ,3,3,4,4,4,1,3,1,1
Penygroes (Gwynedd) ,3,2,3,3,4,5,3,5,3
Teigl ,3,3,3,3,3,1,3,5,3
Trawsfynydd ,3,4,4,4,3,1,4,5,1
Llanbedr ,3,4,4,4,3,1,5,4,1
Corris/Mawddwy ,3,4,4,4,4,1,5,3,1
Llandderfel & Llanuwchllyn 1 ,3,4,4,4,4,1,5,4,1
Abermaw 1 ,3,3,3,3,2,1,3,4,4
Abermaw 2 ,3,3,3,5,2,4,2,5,1
Brithdir and Llanfachreth/Ganllwyd/Llanelltyd ,3,4,4,5,4,1,5,4,1
Dolbenmaen ,3,4,4,4,5,1,5,3,1
Porthmadog East ,3,4,4,3,2,5,3,2,1
Porthmadog - Tremadog ,3,3,4,4,4,1,4,3,2
Llanaelhaearn ,3,2,3,4,3,1,4,5,1
Llanystumdwy ,3,4,5,4,4,1,4,4,1
Pwllheli North ,3,3,3,3,3,4,2,4,2
Pwllheli South ,3,2,3,3,3,4,3,3,3
Aberdaron / Botwnnog & Tudweiliog ,3,4,5,5,5,1,5,5,1
Glyder ,4,4,4,5,5,3,4,5,2
Tregarth & Mynydd Llandygai ,4,4,4,5,5,1,3,4,1
Llanberis ,4,3,4,4,5,2,2,4,2
Penisarwaun ,4,4,4,4,5,1,4,5,3
Bethel & Cwm-y-Glo 2 ,4,5,5,5,5,1,4,4,1
Menai (Caernarfon) ,4,4,3,4,5,4,1,5,3
Seiont 1 ,4,3,3,3,3,2,4,5,5
Bontnewydd ,4,4,4,4,4,1,2,4,3
Groeslon ,4,4,4,4,4,1,5,4,2
Dyffryn Ardudwy ,4,4,4,4,3,1,5,4,4
Harlech ,4,3,4,4,4,1,5,4,3
Penrhyndeudraeth 2 ,4,4,4,3,3,3,4,5,2
Bala ,4,3,3,3,3,4,3,3,4
Llandderfel & Llanuwchllyn 2 ,4,5,5,5,5,1,4,5,1
Dolgellau North ,4,4,3,4,4,2,2,3,3
Dolgellau South ,4,3,3,3,3,4,3,5,3
Tywyn 1 ,4,4,4,4,4,2,4,5,4
Aberdovey / Bryn-crug / Llanfihangel ,4,4,5,5,4,1,5,3,2
Penrhyndeudraeth 1 ,4,4,5,5,4,1,5,5,2
Abererch ,4,4,4,4,4,1,5,4,2
Efail-newydd/Buan ,4,4,4,5,4,1,5,4,1
Nefyn ,4,3,4,4,4,4,4,5,3
Llanbedrog & Abersoch ,4,3,4,5,4,1,4,5,2
Llanengan ,4,5,5,5,4,1,5,5,1
Menai (Bangor) ,5,5,5,5,5,3,3,5,1
Pentir 1 ,5,5,5,4,5,3,2,5,4
Bethel & Cwm-y-Glo 1 ,5,5,5,4,4,2,5,5,3
Llanrug ,5,4,5,3,5,5,4,5,4
Y Felinheli ,5,4,4,4,5,3,4,5,2
Porthmadog West ,5,5,5,5,5,3,2,5,4
Criccieth ,5,3,4,4,4,5,5,5,4
Morfa Nefyn ,5,4,4,5,5,3,4,5,3
Tudno 1 ,1,2,2,1,1,2,1,2,3
Tudno 2 ,1,1,1,1,1,2,1,4,3
Glyn (Conwy) 2 ,1,1,1,1,1,3,1,5,1
Rhiw 3 ,1,1,1,2,2,4,1,5,2
Kinmel Bay 1 ,1,1,1,1,1,4,1,2,3
Colwyn 2 ,1,1,1,1,2,3,2,5,3
Llysfaen 1 ,1,1,1,2,1,1,2,5,1
Pentre Mawr 1 ,1,1,1,1,2,3,1,3,2
Abergele Pensarn 2 ,1,1,1,1,2,2,1,2,3
Craig-y-Don 1 ,2,2,1,3,3,5,2,3,3
Gogarth 1 ,2,2,2,3,4,3,1,4,1
Mostyn (Conwy) 2 ,2,2,2,2,3,2,1,2,1
Mostyn (Conwy) 1 ,2,2,2,3,2,3,2,3,2
Llandrillo yn Rhos 4 ,2,2,2,3,3,3,2,3,3
Glyn (Conwy) 1 ,2,2,2,2,2,3,2,5,1
Eirias 1 ,2,2,1,2,3,2,2,5,4
Mochdre ,2,2,2,2,1,4,2,4,2
Pensarn 1 ,2,2,3,2,2,5,2,4,2
Kinmel Bay 3 ,2,2,2,2,2,2,2,2,4
Kinmel Bay 4 ,2,2,2,2,2,4,3,2,5
Towyn ,2,2,2,1,2,3,1,1,4
Gele 1 ,2,2,2,4,2,2,2,5,2
Conwy 1 ,2,2,2,3,3,3,2,2,5
Pant-yr-afon/Penmaenan 2 ,2,2,2,2,2,2,1,5,2
Gogarth 2 ,3,3,3,4,4,2,3,3,3
Marl 2 ,3,3,4,3,2,2,3,4,3
Glyn (Conwy) 3 ,3,2,2,3,3,3,2,4,4
Kinmel Bay 2 ,3,2,3,3,2,2,3,1,5
Abergele Pensarn 1 ,3,2,3,3,3,2,3,2,5
Bryn ,3,3,2,3,4,3,2,2,2
Pant-yr-afon/Penmaenan 1 ,3,2,2,4,4,4,3,2,4
Betws yn Rhos ,3,4,4,5,4,1,4,3,1
Llangernyw ,3,4,5,4,4,1,5,5,1
Llansannan ,3,4,4,5,4,1,5,5,1
Crwst ,3,3,3,4,3,2,4,3,3
Uwch Conwy ,3,4,4,5,4,1,5,4,1
Tudno 3 ,4,4,4,4,4,3,3,4,5
Llandrillo yn Rhos 3 ,4,3,3,4,5,4,3,4,5
Llandrillo yn Rhos 5 ,4,4,3,4,4,4,3,5,5
Rhiw 4 ,4,3,3,4,4,5,2,5,2
Pensarn 2 ,4,3,4,4,3,2,3,5,3
Llansanffraid ,4,5,5,4,3,1,4,5,4
Colwyn 1 ,4,3,4,4,4,5,2,5,3
Colwyn 3 ,4,3,3,3,5,5,2,5,3
Llanddulas ,4,4,3,3,3,2,3,5,4
Llysfaen 2 ,4,3,4,4,2,4,4,5,2
Caerhun ,4,4,4,5,4,1,5,5,1
Capelulo ,4,3,4,4,4,2,4,4,3
Pandy ,4,4,4,4,4,3,3,5,3
Uwchaled ,4,4,5,5,5,1,5,5,1
Betws-y-Coed ,4,4,5,5,4,1,3,3,1
Eglwysbach ,4,5,5,5,5,1,5,4,1
Gower (Conwy) ,4,3,4,3,3,3,4,4,3
Trefriw ,4,3,4,4,3,1,5,4,3
Craig-y-Don 2 ,5,4,5,5,4,4,4,4,5
Llandrillo yn Rhos 1 ,5,5,5,4,5,4,4,5,5
Penrhyn 1 ,5,5,5,5,5,1,4,5,3
Penrhyn 2 ,5,5,5,5,4,5,5,5,4
Penrhyn 3 ,5,5,5,5,4,4,5,5,5
Llandrillo yn Rhos 2 ,5,4,3,4,5,5,3,5,4
Deganwy 1 ,5,5,4,5,5,5,5,5,5
Deganwy 2 ,5,4,4,5,3,4,4,5,4
Marl 1 ,5,5,5,5,5,4,4,5,5
Eirias 2 ,5,4,4,4,4,5,1,5,4
Rhiw 1 ,5,5,4,5,5,4,4,5,5
Rhiw 2 ,5,5,5,5,5,5,5,5,5
Gele 2 ,5,4,4,4,4,3,4,5,5
Gele 3 ,5,5,5,4,5,3,5,5,5
Pentre Mawr 2 ,5,4,4,4,4,4,4,4,4
Conwy 2 ,5,4,4,5,5,5,2,4,4
Conwy 3 ,5,4,5,5,3,3,4,5,5
Rhyl East 1 ,1,1,2,1,1,3,3,2,3
Rhyl East 3 ,1,1,1,1,2,3,1,5,2
Rhyl West 1 ,1,1,1,1,1,1,1,3,1
Rhyl West 2 ,1,1,1,1,1,1,1,3,1
Rhyl West 3 ,1,1,1,1,1,3,1,3,1
Rhyl South West 1 ,1,1,1,1,1,2,1,1,1
Rhyl South West 2 ,1,1,1,1,1,1,1,1,1
Rhyl South East 4 ,1,1,1,1,1,2,2,5,4
Denbigh Upper/Henllan 1 ,1,1,1,1,1,2,2,4,3
Prestatyn North 1 ,2,2,2,2,2,3,2,2,3
Prestatyn Central 2 ,2,1,1,2,1,3,2,5,2
Prestatyn East 1 ,2,2,2,1,2,3,1,2,1
Prestatyn East 3 ,2,2,2,2,3,4,1,3,3
Prestatyn South West 1 ,2,2,2,2,2,3,4,3,4
Rhyl South West 3 ,2,2,2,2,2,4,2,4,1
Rhyl South 1 ,2,2,1,2,2,2,4,4,4
Denbigh Central ,2,2,1,2,3,5,1,5,1
Denbigh Upper/Henllan 2 ,2,2,2,3,2,1,1,4,1
Corwen 2 ,2,3,3,3,2,1,3,1,2
Llangollen 1 ,2,4,3,3,4,1,1,3,1
Prestatyn North 2 ,3,2,3,2,3,3,3,2,3
Prestatyn North 3 ,3,3,2,2,2,3,3,2,4
Prestatyn South West 2 ,3,3,3,3,3,3,4,4,4
Dyserth 2 ,3,2,2,2,3,4,3,4,3
Prestatyn Meliden ,3,2,3,3,2,5,4,5,2
St. Asaph West ,3,3,3,2,2,5,4,3,4
Trefnant ,3,4,3,3,4,1,4,3,3
Rhyl East 2 ,3,2,3,3,3,4,4,3,3
Bodelwyddan ,3,3,3,3,3,3,1,5,3
Rhyl South East 1 ,3,2,2,2,2,4,3,5,3
Rhyl South East 3 ,3,2,3,2,3,5,3,5,3
Llanrhaeadr-yng-Nghinmeirch ,3,5,5,5,5,1,5,5,1
Ruthin 1 ,3,3,3,3,3,3,3,3,3
Corwen 1 ,3,4,3,4,4,1,3,3,1
Llangollen 2 ,3,3,4,4,3,1,3,5,3
Dyserth 1 ,4,4,4,4,3,5,4,5,2
Tremeirchion ,4,5,5,5,5,1,4,5,1
Rhuddlan 1 ,4,4,4,3,4,3,1,3,5
Rhuddlan 2 ,4,3,4,3,3,5,4,5,3
Rhuddlan 3 ,4,3,3,3,3,5,3,4,4
Rhyl South 2 ,4,3,3,3,3,4,4,4,4
Rhyl South East 2 ,4,2,3,2,4,5,4,5,5
Rhyl South East 5 ,4,4,3,3,4,5,4,2,5
Llanarmon-yn-Ial/Llandegla ,4,5,5,5,5,1,5,5,2
Llandyrnog ,4,5,4,4,5,1,5,5,1
Ruthin 2 ,4,3,4,4,4,5,3,4,3
Efenechtyd ,4,5,5,5,5,1,5,5,1
Llanfair Dyffryn Clwyd/Gwyddelwern ,4,5,5,5,4,1,5,4,1
Llandrillo ,4,4,5,4,3,1,4,3,2
Llangollen 3 ,4,4,4,4,4,1,3,5,3
Prestatyn East 2 ,5,5,4,5,5,4,5,5,4
Prestatyn Central 1 ,5,4,4,4,4,5,4,5,5
St. Asaph East ,5,4,4,4,4,5,3,5,4
Denbigh Lower 1 ,5,5,5,5,5,5,5,4,5
Denbigh Lower 2 ,5,5,5,4,4,5,4,5,3
Denbigh Lower 3 ,5,4,4,4,4,3,5,4,4
Llanbedr Dyffryn Clwyd/Llangynhafal ,5,5,5,5,5,1,5,5,2
Ruthin 3 ,5,5,5,5,5,5,5,5,5
Greenfield 1 ,1,1,1,1,1,3,2,5,2
Holywell Central ,1,1,1,1,1,4,1,5,2
Flint Castle ,1,1,2,1,1,3,1,3,2
Flint Coleshill 2 ,1,1,1,1,1,2,1,4,3
Connah's Quay Central 2 ,1,1,1,1,1,3,1,2,2
Connah's Quay Golftyn 4 ,1,1,1,1,1,3,2,3,2
Sealand 2 ,1,1,1,1,1,3,1,1,2
Shotton Higher 1 ,1,1,2,1,1,3,2,4,3
Shotton Higher 2 ,1,1,1,1,1,2,1,2,1
Mold West 1 ,1,1,2,1,1,3,2,5,4
Ffynnongroyw ,2,2,2,2,2,1,1,3,1
Gronant ,2,2,2,2,2,1,4,4,2
Holywell West ,2,2,2,3,2,4,1,5,5
Mostyn (Flintshire) ,2,2,2,2,1,1,2,5,3
Bagillt West ,2,2,3,2,2,3,2,2,2
Flint Oakenholt 1 ,2,2,3,1,1,3,2,4,2
Flint Oakenholt 2 ,2,3,3,2,2,1,2,2,1
Connah's Quay Central 1 ,2,2,3,3,1,5,2,3,2
Sealand 1 ,2,3,3,2,2,1,1,1,1
Queensferry ,2,2,3,2,1,3,1,1,1
Saltney Mold Junction ,2,2,3,2,1,2,2,2,1
Buckley Bistre West 2 ,2,2,2,2,1,4,2,5,3
Buckley Bistre West 3 ,2,1,2,2,2,2,2,5,4
Mold Broncoed 2 ,2,2,2,3,2,5,1,3,2
Trelawnyd and Gwaenysgor ,3,3,3,4,3,1,4,5,3
Bagillt East ,3,3,4,3,2,2,3,4,3
Holywell East ,3,3,3,3,2,4,3,5,3
Shotton East ,3,3,3,3,2,5,3,2,1
Shotton West ,3,4,3,3,2,5,2,3,1
Mancot 2 ,3,3,3,3,2,4,4,1,2
Saltney Stonebridge 1 ,3,2,3,3,1,4,3,2,3
Buckley Bistre East 1 ,3,2,3,2,3,3,2,4,4
Mold West 2 ,3,3,2,4,2,4,2,5,4
Treuddyn ,3,4,4,4,3,1,4,5,1
Brynford ,4,4,4,4,3,1,4,5,3
Caerwys 2 ,4,4,4,4,4,2,4,5,1
Halkyn ,4,5,4,4,4,1,4,5,1
Buckley Mountain 2 ,4,5,5,4,4,2,3,2,4
Greenfield 2 ,4,3,3,2,3,5,4,5,4
Flint Coleshill 3 ,4,3,3,3,3,2,4,5,5
Flint Trelawny 2 ,4,4,4,3,4,5,4,4,2
Aston 2 ,4,5,4,4,3,3,4,3,4
Connah's Quay Golftyn 1 ,4,4,4,4,3,5,2,3,3
Connah's Quay South 1 ,4,4,4,3,3,4,4,5,3
Connah's Quay South 3 ,4,4,4,4,3,5,4,5,4
Connah's Quay Wepre ,4,4,4,3,2,5,2,3,2
Mancot 1 ,4,3,4,3,3,3,3,4,3
Aston 1 ,4,3,3,3,3,5,3,4,4
Broughton North East ,4,4,5,4,3,4,2,2,3
Broughton South 1 ,4,3,4,4,3,5,4,4,5
Saltney Stonebridge 2 ,4,4,5,3,2,4,3,1,2
New Brighton 2 ,4,4,3,4,3,5,5,5,5
Mold Broncoed 1 ,4,3,4,4,2,4,3,3,3
Mold East ,4,3,3,3,3,4,1,3,4
Leeswood ,4,3,4,3,3,2,4,3,2
Caergwrle ,4,3,3,3,3,5,4,5,2
Hope 2 ,4,3,4,4,3,2,3,5,2
Llanfynydd ,4,5,5,4,4,1,4,4,2
Whitford ,5,5,5,5,4,2,5,5,3
Caerwys 1 ,5,5,5,5,5,1,5,5,2
Cilcain ,5,5,5,5,5,1,5,3,3
Buckley Mountain 1 ,5,4,5,4,4,5,3,5,5
Northop 1 ,5,5,5,5,5,1,5,4,5
Northop 2 ,5,5,5,5,5,4,5,5,5
Flint Coleshill 1 ,5,4,5,4,4,3,3,5,5
Flint Trelawny 1 ,5,5,5,4,4,3,4,5,4
Connah's Quay South 2 ,5,4,4,4,4,3,5,5,5
Connah's Quay South 4 ,5,5,5,5,4,5,5,5,5
Northop Hall ,5,5,5,4,5,3,5,5,5
Connah's Quay Golftyn 2 ,5,4,5,4,3,5,4,4,4
Connah's Quay Golftyn 3 ,5,4,5,4,3,5,3,5,5
Buckley Pentrobin 3 ,5,5,5,5,5,5,4,4,5
Ewloe 1 ,5,5,5,5,5,4,5,3,5
Ewloe 2 ,5,5,5,5,5,5,3,3,5
Ewloe 3 ,5,5,5,5,5,5,4,2,5
Hawarden ,5,5,5,5,5,5,5,5,5
Broughton South 2 ,5,5,5,5,5,5,5,2,5
Buckley Bistre East 2 ,5,4,4,4,4,5,4,5,4
Buckley Pentrobin 1 ,5,5,5,4,3,4,3,4,3
Buckley Pentrobin 2 ,5,4,4,4,4,4,4,5,4
Higher Kinnerton ,5,5,5,5,5,3,5,5,5
Penyffordd 1 ,5,5,5,4,5,5,5,2,5
Penyffordd 2 ,5,5,5,5,5,5,4,5,2
Argoed (Flintshire) 1 ,5,5,5,5,5,5,4,4,5
Argoed (Flintshire) 2 ,5,5,5,4,3,5,5,5,4
Buckley Bistre West 1 ,5,4,4,4,3,5,5,5,4
New Brighton 1 ,5,5,5,5,5,5,5,5,5
Mold South 1 ,5,5,5,5,5,5,5,5,5
Mold South 2 ,5,5,5,5,5,5,5,5,5
Gwernaffield ,5,5,5,5,5,1,5,5,4
Gwernymynydd ,5,5,5,5,5,2,5,5,3
Hope 1 ,5,5,5,5,5,4,3,5,4
Gwersyllt North 2 ,1,1,2,1,1,3,1,5,3
Gwersyllt West 1 ,1,1,1,1,1,2,1,5,3
Cartrefle 2 ,1,1,1,1,1,3,1,4,2
Queensway 1 ,1,1,1,1,1,1,1,3,2
Queensway 2 ,1,1,1,1,1,2,1,5,3
Wynnstay ,1,1,1,1,1,2,1,5,3
Hermitage 2 ,1,1,1,1,1,3,1,5,4
Smithfield 3 ,1,1,1,1,1,3,1,3,1
Penycae ,1,1,2,2,1,2,2,5,2
Plas Madoc ,1,1,1,1,1,2,1,4,4
Gwersyllt East and South 1 ,2,2,2,2,1,3,2,5,3
Llay 3 ,2,2,2,1,1,3,2,5,3
Gwenfro ,2,1,2,2,1,4,2,5,2
New Broughton 2 ,2,2,3,3,2,4,1,5,3
Grosvenor 2 ,2,2,2,1,3,3,1,5,1
Acton 2 ,2,1,2,2,2,3,2,4,3
Cartrefle 1 ,2,2,2,1,2,3,1,3,4
Brynyffynnon 2 ,2,3,3,2,1,2,1,3,1
Offa ,2,3,3,3,3,3,1,5,1
Hermitage 1 ,2,2,2,2,2,2,2,5,1
Whitegate 1 ,2,2,3,2,1,2,1,5,3
Smithfield 2 ,2,2,2,3,1,2,1,2,1
Brymbo 2 ,2,2,2,2,2,3,2,5,2
Coedpoeth 1 ,2,1,2,2,1,4,1,5,2
Johnstown 2 ,2,2,2,1,2,4,2,5,4
Pant ,2,1,2,2,1,4,1,5,1
Ponciau 2 ,2,2,2,2,1,3,1,5,4
Ruabon 1 ,2,2,3,2,3,2,2,3,4
Cefn 2 ,2,2,2,2,2,3,2,5,2
Cefn 3 ,2,2,2,1,1,2,3,2,3
Chirk North 2 ,2,3,3,2,1,3,4,2,3
Bryn Cefn ,3,3,3,3,2,4,2,5,3
New Broughton 1 ,3,2,3,2,3,3,2,5,4
Grosvenor 1 ,3,3,3,3,4,5,2,5,1
Acton 1 ,3,3,3,3,2,3,1,5,3
Maesydre ,3,3,3,3,2,5,1,5,3
Brynyffynnon 1 ,3,3,3,3,3,3,1,5,5
Whitegate 2 ,3,3,3,3,2,4,1,5,2
Minera 1 ,3,4,4,3,3,1,4,5,2
Penycae and Ruabon South 2 ,3,2,3,3,2,2,3,5,4
Esclusham 1 ,3,3,3,2,2,4,3,5,2
Ponciau 1 ,3,3,3,3,3,5,2,5,2
Ponciau 3 ,3,3,3,3,3,2,2,4,2
Ruabon 2 ,3,3,3,3,3,5,1,4,2
Chirk South ,3,3,3,3,2,3,3,3,2
Ceiriog Valley 3 ,3,4,4,4,3,1,4,4,2
Llay 2 ,4,4,4,3,3,4,3,5,4
Gwersyllt North 1 ,4,4,4,3,3,4,3,5,3
Gwersyllt West 2 ,4,4,3,1,4,5,5,4,5
Holt 1 ,4,5,5,5,4,1,1,4,4
Llay 1 ,4,4,4,3,4,2,3,5,5
Rossett 2 ,4,4,4,5,4,1,5,3,4
Stansty ,4,4,3,3,3,4,3,4,4
Erddig ,4,4,4,4,3,3,3,5,2
Brymbo 1 ,4,4,5,4,3,3,3,5,3
Coedpoeth 2 ,4,3,3,3,4,5,4,5,4
Coedpoeth 3 ,4,4,3,3,3,5,1,5,1
Marchwiel 1 ,4,5,5,5,4,1,2,4,3
Marchwiel 2 ,4,3,4,2,4,3,4,5,4
Cefn 1 ,4,4,3,3,2,3,3,5,3
Llangollen Rural ,4,4,4,4,4,1,4,5,3
Bronington 1 ,4,5,5,4,5,1,5,2,5
Bronington 2 ,4,5,5,5,4,1,4,4,1
Overton 1 ,4,5,5,5,5,1,5,4,4
Overton 2 ,4,4,5,4,4,1,5,5,3
Chirk North 1 ,4,4,5,4,2,1,4,2,3
Gwersyllt East and South 2 ,5,4,4,4,4,4,2,4,4
Gwersyllt East and South 3 ,5,4,5,3,3,3,3,5,4
Gresford East and West 1 ,5,4,4,4,4,5,3,5,5
Gresford East and West 2 ,5,5,5,5,5,5,2,5,4
Holt 2 ,5,4,4,5,4,5,4,5,5
Marford and Hoseley 1 ,5,5,5,5,5,5,5,5,5
Marford and Hoseley 2 ,5,5,5,5,5,5,5,4,5
Rossett 1 ,5,5,5,5,5,2,5,4,4
Borras Park 1 ,5,5,5,5,5,5,5,4,5
Borras Park 2 ,5,5,5,4,5,4,4,4,5
Rhosnesni 1 ,5,4,4,4,4,5,1,5,5
Rhosnesni 2 ,5,5,5,5,5,5,5,4,5
Garden Village ,5,5,5,5,5,5,5,4,5
Little Acton 1 ,5,5,5,5,5,5,4,4,5
Little Acton 2 ,5,4,4,4,4,5,4,4,3
Minera 2 ,5,5,5,5,5,1,4,5,2
Esclusham 2 ,5,5,5,4,5,4,2,4,5
Johnstown 1 ,5,5,5,4,4,5,4,5,5
Penycae and Ruabon South 1 ,5,5,5,5,4,1,2,4,4
Welshpool Castle ,1,1,2,2,1,1,1,5,2
Newtown East ,1,2,2,2,1,1,1,2,2
Newtown South ,1,1,1,1,1,2,1,3,3
Llandrindod East/Llandrindod West ,1,2,1,2,2,3,1,4,3
Ystradgynlais 1 ,1,1,1,1,1,2,2,5,4
Welshpool Gungrog 1 ,2,2,2,2,2,3,1,5,1
Newtown Central 1 ,2,1,2,1,1,2,2,5,5
Newtown Central 2 ,2,2,2,2,1,3,2,4,4
Disserth and Trecoed ,2,3,2,3,3,1,5,4,5
Llandrindod South ,2,3,2,3,3,1,3,2,4
St. John 2 ,2,2,2,2,2,1,3,5,4
Cwm-twrch ,2,3,2,2,2,2,4,2,2
Llanfyllin ,3,3,3,4,3,1,3,1,2
Meifod & Llanfihangel ,3,4,5,5,4,1,5,4,1
Llanrhaeadr-ym-Mochnant ,3,4,4,5,5,1,5,4,1
Llansilin ,3,4,5,5,4,1,5,4,1
Welshpool Gungrog 2 ,3,3,3,4,3,1,4,4,4
Welshpool Llanerchyddol ,3,3,3,4,3,2,3,4,3
Glantwymyn ,3,4,5,4,4,1,5,4,2
Llanbrynmair & Banwy ,3,4,4,4,4,1,5,4,1
Caersws ,3,4,4,5,4,1,5,1,3
Churchstoke ,3,4,4,4,3,1,5,3,2
Beguildy ,3,4,4,4,4,1,5,5,1
Nantmel ,3,4,5,5,4,1,5,4,2
Rhayader ,3,3,3,3,3,1,4,5,4
Llandrindod North ,3,2,2,3,2,3,3,5,4
Builth 1 ,3,3,3,4,3,2,3,4,2
Llanelwedd ,3,4,4,5,4,1,3,3,2
Llanwrtyd Wells ,3,4,3,5,4,1,4,3,2
St. David Within ,3,3,3,3,4,2,3,2,3
St. Mary 1 ,3,4,4,4,4,5,1,2,1
Aber-craf ,3,3,2,2,4,3,4,2,3
Tawe-Uchaf ,3,3,3,3,3,1,4,4,2
Ystradgynlais 2 ,3,3,2,2,4,1,3,2,4
Llansantffraid ,4,4,5,4,4,1,5,4,2
Llandrinio ,4,5,5,5,5,1,5,1,5
Llandysilio ,4,4,5,4,5,1,4,2,4
Berriew ,4,5,5,5,3,1,5,4,2
Trewern ,4,5,5,5,4,1,5,3,2
Machynlleth ,4,3,3,3,3,3,4,5,4
Llanfair Caereinion ,4,4,5,4,4,1,5,4,1
Rhiwcynon ,4,5,5,5,4,1,5,4,2
Dolforwyn ,4,5,5,5,4,1,5,3,3
Kerry ,4,4,5,5,4,1,4,3,2
Newtown Llanllwchaiarn North ,4,4,5,4,4,1,4,2,5
Newtown Llanllwchaiarn West ,4,4,4,5,4,1,3,3,3
Blaen Hafren ,4,5,5,5,5,1,5,3,3
Llandinam ,4,5,5,5,4,1,5,3,2
Knighton 1 ,4,3,3,4,2,2,3,5,4
Knighton 2 ,4,4,4,4,3,3,3,4,3
Llangunllo ,4,4,5,5,4,1,5,4,2
Old Radnor ,4,4,5,5,4,1,4,4,1
Presteigne 1 ,4,4,4,4,4,1,5,3,5
Presteigne 2 ,4,3,4,3,4,3,3,5,4
Llanbadarn Fawr ,4,4,4,4,4,1,5,4,5
Llanyre ,4,5,4,4,4,1,5,5,3
Llanafanfawr ,4,5,5,5,4,1,5,3,1
Bronllys ,4,5,5,5,4,1,4,5,2
Glasbury ,4,5,5,5,5,1,5,3,3
Gwernyfed ,4,5,4,5,4,1,5,5,2
Talgarth ,4,4,4,4,5,1,4,5,3
